OG	raw_p	FDR_p	Socmean-Solmean	taxa
OG_18221	0.006108	0.3267	4.328	APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14939	0.006288	0.3267	-12.08	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11902	0.006308	0.3267	-17.5	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_19669	0.006347	0.3267	-4.001	AAUR,APUR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15034	0.006408	0.3267	-38.41	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15296	0.006431	0.3267	24.58	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18625	0.00649	0.3267	-82.79	AAUR,APUR,HLIG,LFIG,LMAL,LMAR,LPAU,LVIE
OG_16795	0.006511	0.3267	-27.06	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16888	0.006515	0.3267	-4.552	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18250	0.00657	0.3267	5.139	APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14705	0.006574	0.3267	32.85	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10796	0.00659	0.3267	2.79	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14329	0.006603	0.3267	-33.44	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16312	0.006638	0.3267	-4.042	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18442	0.006789	0.3267	-77.26	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18775	0.006797	0.3267	3.385	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11494	0.006802	0.3267	3.698	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16235	0.00683	0.3267	-36.9	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17250	0.006832	0.3267	-98.29	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13926	0.006833	0.3267	-73.27	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12295	0.00692	0.3267	3.778	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11450	0.006937	0.3267	-0.9135	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17065	0.006959	0.3267	-76.13	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LVIE
OG_16562	0.006977	0.3267	3.158	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12624	0.007063	0.3274	5.537	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18923	0.007074	0.3274	7.827	AAUR,APUR,AVIR,HLIG,LFIG,LMAL,LMAR,LPAU
OG_15941	0.007187	0.3283	18.83	AAUR,APUR,AVIR,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16323	0.007236	0.3283	1.223	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16347	0.007262	0.3283	13.45	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12680	0.007299	0.3283	3.926	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU
OG_19539	0.007301	0.3283	-11.6	AAUR,APUR,AVIR,HLIG,LFIG,LMAL,LMAR,LPAU
OG_14528	0.007406	0.3296	7.126	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_15081	0.007443	0.3296	52.87	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16994	0.007456	0.3296	29.17	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_14933	0.007571	0.3302	2.943	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14041	0.007588	0.3302	11.62	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_14416	0.007594	0.3302	14.08	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12959	0.007729	0.331	-8.105	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17371	0.007734	0.331	-18.98	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12720	0.007758	0.331	-27.71	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_10870	0.007815	0.331	20.96	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_13769	0.007821	0.331	8.019	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12183	0.007887	0.332	22.04	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_18460	0.008157	0.3416	-15.07	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_17523	0.008297	0.3438	5.406	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAR,LPAU,LVIE
OG_16848	0.008298	0.3438	3.672	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_12641	0.008351	0.3442	2.212	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16028	0.008628	0.3534	4.59	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_16482	0.008662	0.3534	2.253	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
OG_11588	0.00873	0.3536	-61.67	AAUR,APUR,AVIR,HLIG,LFIG,LLEU,LMAL,LMAR,LPAU,LVIE
